name,label,settlement_id,ward_code,lga_code,children_under5_last_round,consent_to_follow_up
BAN-000056,"BAN-000056  (A. Ede, structure 13)",S02163,W033,LGA03,3,no
BAN-000057,"BAN-000057  (U. Sule, structure 232)",S00415,W006,LGA01,3,yes
BAN-000058,"BAN-000058  (M. Ede, structure 153)",S00415,W006,LGA01,1,yes
BAN-000059,"BAN-000059  (U. Gani, structure 77)",S00901,W011,LGA02,2,no
BAN-000060,"BAN-000060  (A. Nura, structure 167)",S00901,W011,LGA02,2,yes
BAN-000061,"BAN-000061  (Z. Ede, structure 77)",S01476,W020,LGA01,0,yes
BAN-000062,"BAN-000062  (Y. Pama, structure 176)",S01894,W029,LGA04,4,yes
BAN-000063,"BAN-000063  (U. Umar, structure 17)",S01894,W029,LGA04,2,yes
BAN-000064,"BAN-000064  (A. Pama, structure 53)",S01894,W029,LGA04,3,yes
BAN-000065,"BAN-000065  (F. Pama, structure 179)",S01377,W019,LGA04,0,yes
BAN-000066,"BAN-000066  (Y. Kabo, structure 42)",S01377,W019,LGA04,4,yes
BAN-000067,"BAN-000067  (U. Wada, structure 134)",S01377,W019,LGA04,3,yes
BAN-000068,"BAN-000068  (F. Cham, structure 247)",S01680,W025,LGA04,0,yes
BAN-000069,"BAN-000069  (R. Zubi, structure 175)",S01680,W025,LGA04,0,yes
BAN-000070,"BAN-000070  (Z. Cham, structure 236)",S01492,W020,LGA01,1,yes
BAN-000071,"BAN-000071  (F. Umar, structure 153)",S01492,W020,LGA01,3,yes
BAN-000072,"BAN-000072  (I. Jibo, structure 18)",S02320,W037,LGA03,2,yes
BAN-000073,"BAN-000073  (R. Sule, structure 22)",S02320,W037,LGA03,2,yes
BAN-000074,"BAN-000074  (B. Gani, structure 233)",S02320,W037,LGA03,0,yes
BAN-000075,"BAN-000075  (B. Wada, structure 140)",S02320,W037,LGA03,1,yes
BAN-000076,"BAN-000076  (B. Isa, structure 52)",S01639,W024,LGA04,4,yes
BAN-000077,"BAN-000077  (Y. Dogo, structure 255)",S01639,W024,LGA04,4,yes
BAN-000078,"BAN-000078  (R. Yaro, structure 101)",S01699,W025,LGA04,3,yes
BAN-000079,"BAN-000079  (Y. Abu, structure 90)",S00749,W008,LGA01,3,yes
BAN-000080,"BAN-000080  (I. Dogo, structure 181)",S00814,W009,LGA02,1,yes
BAN-000081,"BAN-000081  (B. Haru, structure 62)",S00814,W009,LGA02,4,yes
BAN-000082,"BAN-000082  (S. Pama, structure 119)",S00814,W009,LGA02,0,yes
BAN-000083,"BAN-000083  (B. Oje, structure 29)",S02385,W038,LGA03,0,no
BAN-000084,"BAN-000084  (R. Haru, structure 143)",S02199,W034,LGA03,1,yes
BAN-000085,"BAN-000085  (B. Haru, structure 125)",S02303,W036,LGA04,4,yes
BAN-000086,"BAN-000086  (I. Ede, structure 232)",S01738,W026,LGA03,1,yes
BAN-000087,"BAN-000087  (S. Nura, structure 255)",S00661,W008,LGA01,0,yes
BAN-000088,"BAN-000088  (R. Umar, structure 82)",S01242,W016,LGA02,0,yes
BAN-000089,"BAN-000089  (S. Kabo, structure 53)",S01363,W018,LGA02,3,yes
BAN-000090,"BAN-000090  (K. Cham, structure 212)",S01363,W018,LGA02,0,yes
BAN-000091,"BAN-000091  (H. Abu, structure 58)",S01363,W018,LGA02,2,yes
BAN-000092,"BAN-000092  (Y. Tanko, structure 177)",S01363,W018,LGA02,0,yes
BAN-000093,"BAN-000093  (K. Gani, structure 163)",S01035,W014,LGA01,2,yes
BAN-000094,"BAN-000094  (I. Kabo, structure 42)",S01035,W014,LGA01,3,yes
BAN-000095,"BAN-000095  (H. Lami, structure 232)",S01035,W014,LGA01,3,yes
BAN-000096,"BAN-000096  (A. Wada, structure 82)",S01035,W014,LGA01,4,yes
BAN-000097,"BAN-000097  (K. Kabo, structure 164)",S01035,W014,LGA01,3,yes
BAN-000098,"BAN-000098  (R. Rabi, structure 217)",S00687,W008,LGA01,3,yes
BAN-000099,"BAN-000099  (U. Kabo, structure 169)",S00789,W009,LGA02,2,yes
BAN-000100,"BAN-000100  (Y. Haru, structure 76)",S00789,W009,LGA02,1,yes
BAN-000101,"BAN-000101  (I. Rabi, structure 159)",S00789,W009,LGA02,2,yes
BAN-000102,"BAN-000102  (U. Gani, structure 252)",S00789,W009,LGA02,4,yes
BAN-000103,"BAN-000103  (F. Tanko, structure 157)",S01475,W020,LGA01,4,yes
BAN-000104,"BAN-000104  (B. Funo, structure 256)",S00250,W003,LGA01,2,yes
BAN-000105,"BAN-000105  (K. Zubi, structure 83)",S00250,W003,LGA01,0,yes
BAN-000106,"BAN-000106  (S. Musa, structure 59)",S00250,W003,LGA01,3,yes
BAN-000107,"BAN-000107  (Z. Ede, structure 138)",S01881,W029,LGA04,0,yes
BAN-000108,"BAN-000108  (M. Tanko, structure 238)",S01376,W019,LGA04,1,yes
BAN-000109,"BAN-000109  (K. Musa, structure 180)",S01783,W027,LGA03,3,yes
BAN-000110,"BAN-000110  (R. Cham, structure 186)",S01783,W027,LGA03,0,yes
BAN-000111,"BAN-000111  (R. Zubi, structure 242)",S01783,W027,LGA03,2,yes
BAN-000112,"BAN-000112  (M. Oje, structure 84)",S01783,W027,LGA03,4,yes
BAN-000113,"BAN-000113  (F. Tanko, structure 186)",S00709,W008,LGA01,2,yes
BAN-000114,"BAN-000114  (R. Funo, structure 247)",S02227,W035,LGA04,3,yes
BAN-000115,"BAN-000115  (R. Isa, structure 57)",S02227,W035,LGA04,3,yes
BAN-000116,"BAN-000116  (Y. Bala, structure 159)",S00296,W003,LGA01,3,yes
BAN-000117,"BAN-000117  (M. Rabi, structure 226)",S00296,W003,LGA01,0,yes
BAN-000118,"BAN-000118  (M. Haru, structure 187)",S00296,W003,LGA01,4,yes
BAN-000119,"BAN-000119  (S. Dogo, structure 74)",S00296,W003,LGA01,0,yes
BAN-000120,"BAN-000120  (K. Sule, structure 218)",S00296,W003,LGA01,4,yes
BAN-000121,"BAN-000121  (R. Nura, structure 36)",S01514,W021,LGA02,3,yes
BAN-000122,"BAN-000122  (F. Lami, structure 178)",S01514,W021,LGA02,4,yes
BAN-000123,"BAN-000123  (Y. Haru, structure 33)",S01602,W023,LGA03,2,yes
BAN-000124,"BAN-000124  (K. Pama, structure 94)",S02272,W035,LGA04,3,no
BAN-000125,"BAN-000125  (B. Kabo, structure 128)",S02272,W035,LGA04,2,no
BAN-000126,"BAN-000126  (K. Kabo, structure 97)",S02272,W035,LGA04,0,yes
BAN-000127,"BAN-000127  (Y. Gani, structure 110)",S02272,W035,LGA04,0,yes
BAN-000128,"BAN-000128  (B. Funo, structure 176)",S02272,W035,LGA04,3,yes
BAN-000129,"BAN-000129  (H. Umar, structure 153)",S02272,W035,LGA04,0,yes
BAN-000130,"BAN-000130  (M. Ede, structure 12)",S00409,W006,LGA01,1,yes
BAN-000131,"BAN-000131  (F. Cham, structure 58)",S00409,W006,LGA01,1,yes
BAN-000132,"BAN-000132  (S. Sule, structure 30)",S00452,W006,LGA01,3,yes
BAN-000133,"BAN-000133  (B. Nura, structure 43)",S00452,W006,LGA01,4,yes
BAN-000134,"BAN-000134  (U. Nura, structure 186)",S00452,W006,LGA01,1,no
BAN-000135,"BAN-000135  (S. Kabo, structure 205)",S00452,W006,LGA01,3,yes
BAN-000136,"BAN-000136  (S. Zubi, structure 66)",S00179,W002,LGA01,1,yes
BAN-000137,"BAN-000137  (R. Jibo, structure 142)",S00179,W002,LGA01,2,yes
BAN-000138,"BAN-000138  (K. Umar, structure 37)",S00179,W002,LGA01,3,yes
BAN-000139,"BAN-000139  (M. Rabi, structure 151)",S01599,W023,LGA03,2,yes
BAN-000140,"BAN-000140  (H. Haru, structure 69)",S01599,W023,LGA03,4,yes
BAN-000141,"BAN-000141  (U. Wada, structure 107)",S01548,W021,LGA02,3,yes
BAN-000142,"BAN-000142  (B. Isa, structure 256)",S01548,W021,LGA02,0,yes
BAN-000143,"BAN-000143  (H. Nura, structure 93)",S01731,W026,LGA03,2,yes
BAN-000144,"BAN-000144  (M. Abu, structure 254)",S01483,W020,LGA01,2,yes
BAN-000145,"BAN-000145  (Z. Haru, structure 217)",S01483,W020,LGA01,3,yes
BAN-000146,"BAN-000146  (Y. Oje, structure 118)",S01483,W020,LGA01,4,yes
BAN-000147,"BAN-000147  (H. Cham, structure 9)",S01483,W020,LGA01,3,yes
BAN-000148,"BAN-000148  (Z. Wada, structure 258)",S02062,W032,LGA04,1,yes
BAN-000149,"BAN-000149  (F. Haru, structure 166)",S02062,W032,LGA04,4,yes
BAN-000150,"BAN-000150  (I. Musa, structure 150)",S02062,W032,LGA04,1,yes
BAN-000151,"BAN-000151  (K. Jibo, structure 154)",S02139,W033,LGA03,2,yes
BAN-000152,"BAN-000152  (U. Bala, structure 202)",S02139,W033,LGA03,0,no
BAN-000153,"BAN-000153  (I. Zubi, structure 103)",S00735,W008,LGA01,4,yes
BAN-000154,"BAN-000154  (A. Haru, structure 70)",S01456,W020,LGA01,1,yes
BAN-000155,"BAN-000155  (H. Dogo, structure 70)",S01456,W020,LGA01,3,yes
BAN-000156,"BAN-000156  (U. Rabi, structure 109)",S01713,W026,LGA03,4,yes
BAN-000157,"BAN-000157  (Z. Haru, structure 178)",S01713,W026,LGA03,2,yes
BAN-000158,"BAN-000158  (K. Abu, structure 126)",S01717,W026,LGA03,2,yes
BAN-000159,"BAN-000159  (I. Isa, structure 147)",S01717,W026,LGA03,3,yes
BAN-000160,"BAN-000160  (H. Ede, structure 16)",S01145,W015,LGA01,0,yes
BAN-000161,"BAN-000161  (B. Kabo, structure 32)",S01145,W015,LGA01,4,yes
BAN-000162,"BAN-000162  (A. Cham, structure 26)",S01145,W015,LGA01,0,yes
BAN-000163,"BAN-000163  (Z. Bala, structure 123)",S01145,W015,LGA01,2,yes
BAN-000164,"BAN-000164  (Y. Yaro, structure 216)",S01145,W015,LGA01,3,no
BAN-000165,"BAN-000165  (B. Rabi, structure 161)",S00690,W008,LGA01,2,yes
BAN-000166,"BAN-000166  (U. Pama, structure 109)",S01715,W026,LGA03,1,yes
BAN-000167,"BAN-000167  (K. Sule, structure 128)",S01715,W026,LGA03,1,yes
BAN-000168,"BAN-000168  (A. Jibo, structure 243)",S01715,W026,LGA03,2,yes
BAN-000169,"BAN-000169  (H. Yaro, structure 96)",S01939,W030,LGA04,0,yes
BAN-000170,"BAN-000170  (S. Wada, structure 81)",S01939,W030,LGA04,1,yes
BAN-000171,"BAN-000171  (B. Bala, structure 93)",S01550,W021,LGA02,3,yes
BAN-000172,"BAN-000172  (M. Funo, structure 112)",S01550,W021,LGA02,2,yes
BAN-000173,"BAN-000173  (S. Sule, structure 111)",S01550,W021,LGA02,4,yes
BAN-000174,"BAN-000174  (U. Yaro, structure 19)",S01550,W021,LGA02,0,yes
BAN-000175,"BAN-000175  (M. Musa, structure 205)",S01901,W029,LGA04,2,yes
BAN-000176,"BAN-000176  (M. Isa, structure 60)",S01901,W029,LGA04,2,yes
BAN-000177,"BAN-000177  (B. Jibo, structure 171)",S01901,W029,LGA04,4,yes
BAN-000178,"BAN-000178  (I. Cham, structure 200)",S01996,W031,LGA03,0,no
BAN-000179,"BAN-000179  (M. Jibo, structure 15)",S01440,W020,LGA01,2,yes
BAN-000180,"BAN-000180  (M. Tanko, structure 63)",S01440,W020,LGA01,3,yes
BAN-000181,"BAN-000181  (F. Oje, structure 256)",S01440,W020,LGA01,4,yes
BAN-000182,"BAN-000182  (S. Kabo, structure 183)",S01440,W020,LGA01,1,yes
BAN-000183,"BAN-000183  (H. Nura, structure 47)",S01440,W020,LGA01,0,no
BAN-000184,"BAN-000184  (H. Zubi, structure 16)",S00702,W008,LGA01,2,yes
BAN-000185,"BAN-000185  (A. Funo, structure 144)",S00702,W008,LGA01,0,yes
BAN-000186,"BAN-000186  (A. Tanko, structure 96)",S02078,W032,LGA04,0,yes
BAN-000187,"BAN-000187  (Z. Isa, structure 202)",S02078,W032,LGA04,1,yes
BAN-000188,"BAN-000188  (S. Jibo, structure 26)",S02078,W032,LGA04,2,yes
BAN-000189,"BAN-000189  (K. Haru, structure 171)",S00583,W007,LGA01,2,yes
BAN-000190,"BAN-000190  (Z. Tanko, structure 197)",S00583,W007,LGA01,0,yes
BAN-000191,"BAN-000191  (H. Isa, structure 226)",S00583,W007,LGA01,0,yes
BAN-000192,"BAN-000192  (F. Pama, structure 157)",S00583,W007,LGA01,3,yes
BAN-000193,"BAN-000193  (B. Haru, structure 240)",S01070,W014,LGA01,4,yes
BAN-000194,"BAN-000194  (R. Umar, structure 94)",S01070,W014,LGA01,2,no
BAN-000195,"BAN-000195  (K. Abu, structure 107)",S01070,W014,LGA01,4,yes
BAN-000196,"BAN-000196  (S. Jibo, structure 237)",S01070,W014,LGA01,1,yes
BAN-000197,"BAN-000197  (K. Isa, structure 30)",S01070,W014,LGA01,3,yes
BAN-000198,"BAN-000198  (R. Abu, structure 215)",S01844,W029,LGA04,4,yes
BAN-000199,"BAN-000199  (B. Bala, structure 64)",S01844,W029,LGA04,1,yes
BAN-000200,"BAN-000200  (Z. Oje, structure 66)",S01844,W029,LGA04,2,yes
BAN-000201,"BAN-000201  (M. Nura, structure 108)",S00893,W011,LGA02,1,yes
BAN-000202,"BAN-000202  (B. Funo, structure 127)",S00893,W011,LGA02,0,yes
BAN-000203,"BAN-000203  (Z. Yaro, structure 241)",S01051,W014,LGA01,4,yes
BAN-000204,"BAN-000204  (A. Dogo, structure 65)",S01051,W014,LGA01,3,yes
BAN-000205,"BAN-000205  (M. Yaro, structure 253)",S01051,W014,LGA01,0,yes
BAN-000206,"BAN-000206  (U. Musa, structure 194)",S01037,W014,LGA01,1,yes
BAN-000207,"BAN-000207  (H. Nura, structure 249)",S01037,W014,LGA01,1,yes
BAN-000208,"BAN-000208  (S. Zubi, structure 193)",S01974,W030,LGA04,0,yes
BAN-000209,"BAN-000209  (R. Ede, structure 218)",S01974,W030,LGA04,1,yes
BAN-000210,"BAN-000210  (U. Oje, structure 99)",S01974,W030,LGA04,2,no
BAN-000211,"BAN-000211  (I. Tanko, structure 83)",S00202,W002,LGA01,0,yes
BAN-000212,"BAN-000212  (Z. Umar, structure 130)",S00524,W006,LGA01,2,yes
BAN-000213,"BAN-000213  (S. Gani, structure 106)",S00524,W006,LGA01,1,yes
BAN-000214,"BAN-000214  (I. Dogo, structure 136)",S00712,W008,LGA01,4,yes
BAN-000215,"BAN-000215  (I. Yaro, structure 110)",S00712,W008,LGA01,2,yes
BAN-000216,"BAN-000216  (M. Zubi, structure 32)",S00712,W008,LGA01,1,yes
BAN-000217,"BAN-000217  (M. Dogo, structure 78)",S00712,W008,LGA01,2,yes
BAN-000218,"BAN-000218  (I. Sule, structure 223)",S02376,W038,LGA03,0,yes
BAN-000219,"BAN-000219  (U. Oje, structure 55)",S01956,W030,LGA04,1,yes
BAN-000220,"BAN-000220  (H. Dogo, structure 250)",S01956,W030,LGA04,2,yes
BAN-000221,"BAN-000221  (Y. Lami, structure 60)",S01278,W017,LGA03,4,yes
BAN-000222,"BAN-000222  (U. Oje, structure 138)",S01278,W017,LGA03,3,yes
BAN-000223,"BAN-000223  (R. Abu, structure 130)",S01278,W017,LGA03,3,yes
BAN-000224,"BAN-000224  (Z. Abu, structure 179)",S01278,W017,LGA03,4,yes
BAN-000225,"BAN-000225  (A. Musa, structure 56)",S02141,W033,LGA03,1,yes
BAN-000226,"BAN-000226  (F. Ede, structure 167)",S02141,W033,LGA03,4,yes
BAN-000227,"BAN-000227  (I. Funo, structure 161)",S01814,W028,LGA04,3,yes
BAN-000228,"BAN-000228  (I. Cham, structure 185)",S01814,W028,LGA04,4,yes
BAN-000229,"BAN-000229  (B. Musa, structure 56)",S01147,W015,LGA01,2,yes
BAN-000230,"BAN-000230  (S. Umar, structure 224)",S01147,W015,LGA01,4,yes
BAN-000231,"BAN-000231  (H. Gani, structure 102)",S01147,W015,LGA01,4,yes
BAN-000232,"BAN-000232  (F. Lami, structure 2)",S01147,W015,LGA01,1,yes
BAN-000233,"BAN-000233  (M. Tanko, structure 199)",S02368,W038,LGA03,2,yes
BAN-000234,"BAN-000234  (M. Musa, structure 155)",S02368,W038,LGA03,0,yes
BAN-000235,"BAN-000235  (I. Bala, structure 248)",S00656,W007,LGA01,4,yes
BAN-000236,"BAN-000236  (H. Kabo, structure 163)",S00656,W007,LGA01,2,yes
BAN-000237,"BAN-000237  (M. Gani, structure 99)",S00656,W007,LGA01,3,yes
BAN-000238,"BAN-000238  (Y. Dogo, structure 84)",S00656,W007,LGA01,1,yes
BAN-000239,"BAN-000239  (Y. Musa, structure 157)",S00111,W001,LGA01,0,yes
BAN-000240,"BAN-000240  (B. Rabi, structure 234)",S01771,W027,LGA03,1,yes
BAN-000241,"BAN-000241  (I. Oje, structure 80)",S02171,W034,LGA03,4,yes
BAN-000242,"BAN-000242  (R. Funo, structure 101)",S02171,W034,LGA03,2,yes
BAN-000243,"BAN-000243  (F. Ede, structure 16)",S01790,W027,LGA03,4,yes
BAN-000244,"BAN-000244  (S. Funo, structure 89)",S01790,W027,LGA03,0,yes
BAN-000245,"BAN-000245  (A. Funo, structure 194)",S01790,W027,LGA03,0,no
BAN-000246,"BAN-000246  (S. Zubi, structure 73)",S01790,W027,LGA03,4,yes
BAN-000247,"BAN-000247  (I. Funo, structure 216)",S01790,W027,LGA03,3,yes
BAN-000248,"BAN-000248  (K. Gani, structure 123)",S01790,W027,LGA03,1,yes
BAN-000249,"BAN-000249  (S. Pama, structure 27)",S01790,W027,LGA03,1,yes
BAN-000250,"BAN-000250  (K. Lami, structure 97)",S01790,W027,LGA03,1,yes
BAN-000251,"BAN-000251  (I. Oje, structure 259)",S01065,W014,LGA01,4,yes
BAN-000252,"BAN-000252  (S. Oje, structure 257)",S01855,W029,LGA04,1,yes
BAN-000253,"BAN-000253  (A. Musa, structure 215)",S00774,W008,LGA01,3,yes
BAN-000254,"BAN-000254  (I. Lami, structure 256)",S00774,W008,LGA01,2,yes
BAN-000255,"BAN-000255  (A. Haru, structure 23)",S00072,W001,LGA01,3,yes
BAN-000256,"BAN-000256  (F. Haru, structure 64)",S00072,W001,LGA01,1,yes
BAN-000257,"BAN-000257  (M. Zubi, structure 121)",S00072,W001,LGA01,3,yes
BAN-000258,"BAN-000258  (U. Jibo, structure 10)",S02430,W039,LGA04,2,yes
BAN-000259,"BAN-000259  (K. Gani, structure 130)",S02430,W039,LGA04,4,yes
BAN-000260,"BAN-000260  (S. Yaro, structure 53)",S02430,W039,LGA04,0,yes
BAN-000261,"BAN-000261  (Y. Lami, structure 19)",S00923,W011,LGA02,3,yes
BAN-000262,"BAN-000262  (H. Ede, structure 140)",S00490,W006,LGA01,0,yes
BAN-000263,"BAN-000263  (S. Pama, structure 168)",S00490,W006,LGA01,3,yes
BAN-000264,"BAN-000264  (I. Yaro, structure 107)",S00141,W002,LGA01,4,yes
BAN-000265,"BAN-000265  (R. Isa, structure 76)",S00141,W002,LGA01,0,yes
BAN-000266,"BAN-000266  (S. Nura, structure 12)",S00766,W008,LGA01,2,yes
BAN-000267,"BAN-000267  (I. Funo, structure 259)",S00766,W008,LGA01,2,yes
BAN-000268,"BAN-000268  (Z. Sule, structure 197)",S02412,W038,LGA03,0,yes
BAN-000269,"BAN-000269  (S. Kabo, structure 184)",S02412,W038,LGA03,3,yes
BAN-000270,"BAN-000270  (Z. Nura, structure 247)",S02068,W032,LGA04,2,yes
BAN-000271,"BAN-000271  (S. Umar, structure 216)",S02068,W032,LGA04,1,yes
BAN-000272,"BAN-000272  (S. Tanko, structure 171)",S02068,W032,LGA04,0,yes
BAN-000273,"BAN-000273  (Y. Zubi, structure 213)",S00453,W006,LGA01,4,yes
BAN-000274,"BAN-000274  (I. Haru, structure 140)",S00453,W006,LGA01,3,yes
BAN-000275,"BAN-000275  (U. Funo, structure 133)",S00453,W006,LGA01,4,yes
BAN-000276,"BAN-000276  (I. Ede, structure 190)",S02113,W033,LGA03,0,yes
BAN-000277,"BAN-000277  (Z. Haru, structure 203)",S02113,W033,LGA03,0,yes
BAN-000278,"BAN-000278  (B. Rabi, structure 114)",S02113,W033,LGA03,4,no
BAN-000279,"BAN-000279  (A. Umar, structure 240)",S01586,W022,LGA03,3,yes
BAN-000280,"BAN-000280  (R. Musa, structure 91)",S01586,W022,LGA03,1,yes
BAN-000281,"BAN-000281  (H. Lami, structure 167)",S00158,W002,LGA01,1,yes
BAN-000282,"BAN-000282  (K. Funo, structure 115)",S00158,W002,LGA01,2,yes
BAN-000283,"BAN-000283  (B. Nura, structure 130)",S00073,W001,LGA01,1,no
BAN-000284,"BAN-000284  (Y. Abu, structure 223)",S00073,W001,LGA01,3,yes
BAN-000285,"BAN-000285  (A. Gani, structure 31)",S01666,W024,LGA04,0,yes
BAN-000286,"BAN-000286  (I. Oje, structure 196)",S00347,W004,LGA02,2,yes
BAN-000287,"BAN-000287  (I. Rabi, structure 205)",S00319,W003,LGA01,4,yes
BAN-000288,"BAN-000288  (A. Oje, structure 206)",S00319,W003,LGA01,0,no
BAN-000289,"BAN-000289  (A. Funo, structure 107)",S00319,W003,LGA01,0,yes
BAN-000290,"BAN-000290  (H. Wada, structure 158)",S00319,W003,LGA01,2,yes
BAN-000291,"BAN-000291  (F. Nura, structure 55)",S00319,W003,LGA01,0,yes
BAN-000292,"BAN-000292  (U. Musa, structure 116)",S00834,W010,LGA02,3,yes
BAN-000293,"BAN-000293  (B. Yaro, structure 10)",S00834,W010,LGA02,3,yes
BAN-000294,"BAN-000294  (U. Oje, structure 12)",S02501,W040,LGA04,3,yes
BAN-000295,"BAN-000295  (Z. Yaro, structure 174)",S02501,W040,LGA04,0,yes
BAN-000296,"BAN-000296  (M. Ede, structure 17)",S02501,W040,LGA04,4,yes
BAN-000297,"BAN-000297  (K. Ede, structure 64)",S01354,W018,LGA02,0,yes
BAN-000298,"BAN-000298  (S. Dogo, structure 36)",S01354,W018,LGA02,2,yes
BAN-000299,"BAN-000299  (Y. Kabo, structure 61)",S01354,W018,LGA02,3,yes
BAN-000300,"BAN-000300  (U. Bala, structure 80)",S01354,W018,LGA02,1,yes
BAN-000301,"BAN-000301  (A. Bala, structure 214)",S01843,W028,LGA04,0,yes
BAN-000302,"BAN-000302  (K. Abu, structure 185)",S01843,W028,LGA04,1,yes
BAN-000303,"BAN-000303  (I. Rabi, structure 55)",S01843,W028,LGA04,4,yes
BAN-000304,"BAN-000304  (F. Tanko, structure 87)",S00343,W004,LGA02,0,yes
BAN-000305,"BAN-000305  (F. Dogo, structure 86)",S02504,W040,LGA04,4,no
BAN-000306,"BAN-000306  (K. Isa, structure 130)",S01498,W020,LGA01,0,yes
BAN-000307,"BAN-000307  (U. Umar, structure 53)",S01027,W014,LGA01,1,yes
